[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density
2121,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0.262,0,90,31,0.608200456,406.0322581,416,1,3.919800853,0.1,572688
2122,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.2,0,0.1,0,0,0,0.262,0,90,233,0.006134969,9.515151515,4,0.201716738,25.98566879,0.2,19596
2123,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.3,0,0.1,0,0,0,0.262,0,90,132,0.433656958,343.4015152,342,1,13.91782572,0.3,423448
2124,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.4,0,0.1,0,0,0,0.262,0,90,149,0.323024055,290.8187919,275,1,20.7018507,0.4,330225
2125,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.5,0,0.1,0,0,0,0.262,0,90,0,0.703087886,0,0,0,0,0.5,545718
2126,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.6,0,0.1,0,0,0,0.262,0,90,0,0.722748815,0,0,0,0,0.6,524817
2127,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.7,0,0.1,0,0,0,0.262,0,90,6,0.644021739,435.5,439,1,0.129276693,0.7,399530
2128,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.8,0,0.1,0,0,0,0.262,0,90,0,0.734597156,0,0,0,0,0.8,585557
2129,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.9,0,0.1,0,0,0,0.262,0,90,0,0.811529933,0,0,0,0,0.9,665657
2130,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,1,0,0.1,0,0,0,0.262,0,90,0,0.803278689,0,0,0,0,1,486037
2131,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0.336,0,90,0,0.696428571,0,0,0,0,0.1,601156
2132,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.2,0,0.1,0,0,0,0.336,0,90,7,0.699115044,411,437,1,6.446877534,0.2,599573
2133,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.3,0,0.1,0,0,0,0.336,0,90,72,0.537267081,381.8333333,390,1,7.821788874,0.3,441337
2134,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.4,0,0.1,0,0,0,0.336,0,90,22,0.59697733,411.7272727,421,1,6.095616608,0.4,442201
2135,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.5,0,0.1,0,0,0,0.336,0,90,0,0.741418764,0,0,0,0,0.5,531689
2136,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.6,0,0.1,0,0,0,0.336,0,90,0,0.658653846,0,0,0,0,0.6,471296
2137,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.7,0,0.1,0,0,0,0.336,0,90,0,0.742574257,0,0,0,0,0.7,470638
2138,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.8,0,0.1,0,0,0,0.336,0,90,0,0.82972973,0,0,0,0,0.8,560473
2139,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.9,0,0.1,0,0,0,0.336,0,90,0,0.802083333,0,0,0,0,0.9,535177
2140,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,1,0,0.1,0,0,0,0.336,0,90,8,0.607361963,398.875,416.5,1,4.477190312,1,343171
2141,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,0,0,0.405,0,90,200,0.069306931,100.815,78.5,1,53.97987084,0.1,133746
2142,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.2,0,0.1,0,0,0,0.405,0,90,0,0.792899408,0,0,0,0,0.2,687168
2143,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.3,0,0.1,0,0,0,0.405,0,90,21,0.616580311,410.952381,416,1,4.197682503,0.3,493412
