[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density
1578,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.8,0,0.1,0,-1.609,0,0,0,90,29,0.648101266,225.9655172,202,1,44.80281659,0.8,216145
1579,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.9,0,0.1,0,-1.609,0,0,0,90,2,0.751740139,447.5,447.5,1,0.591061453,0.9,297311
1580,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,1,0,0.1,0,-1.609,0,0,0,90,63,0.614035088,74.55555556,76,1,2.025239171,1,163138
1581,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.1,0,0.1,0,-2.303,0,0,0,90,127,0.451263538,313.2362205,313,1,18.15296446,0.1,378655
1582,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.2,0,0.1,0,-2.303,0,0,0,90,0,0.728337237,0,0,0,0,0.2,627693
1583,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.3,0,0.1,0,-2.303,0,0,0,90,163,0.427299703,207.9754601,179,1,44.76263812,0.3,263195
1584,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.4,0,0.1,0,-2.303,0,0,0,90,0,0.767123288,0,0,0,0,0.4,433667
1585,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.5,0,0.1,0,-2.303,0,0,0,90,5,0.744744745,386.2,392,1,8.60616261,0.5,362929
1586,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.6,0,0.1,0,-2.303,0,0,0,90,178,0.150943396,32.46629213,22,1,56.78558838,0.6,65932
1587,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.7,0,0.1,0,-2.303,0,0,0,90,28,0.727272727,339.7857143,348,1,21.36801127,0.7,250126
